rank,release_date,title,production_cost,domestic_gross,worldwide_gross,opening_weekend,rating,genre,theaters,runtime,year,profit
81,2019-06-05,Dark Phoenix,200000000,65845974,246356895,32828348.0,PG-13,Action,3721.0,114.0,2019.0,46356895
82,2020-02-28,Onward,200000000,61555145,133317030,39119861.0,PG,Adventure,4310.0,114.0,2020.0,-66682970
83,2020-12-16,Wonder Woman 1984,200000000,46801036,166360232,16701957.0,PG-13,Action,2218.0,151.0,2020.0,-33639768
87,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123794079,97852865.0,PG-13,Action,4107.0,154.0,2011.0,928794079
88,2017-06-02,The Mummy,195000000,80101125,409953905,31668375.0,PG-13,Adventure,4035.0,107.0,2017.0,214953905
89,2013-02-27,Jack the Giant Slayer,195000000,65187603,197687603,27202226.0,PG-13,Adventure,3525.0,113.0,2013.0,2687603
90,2015-04-01,Furious 7,190000000,353007020,1514553486,147187040.0,PG-13,Action,4022.0,137.0,2015.0,1324553486
91,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,70165559.0,PG-13,Adventure,3907.0,132.0,2013.0,277381584
92,2013-06-19,World War Z,190000000,202706711,531861650,66411834.0,PG-13,Action,3607.0,115.0,2013.0,341861650
93,2013-05-10,The Great Gatsby,190000000,144840419,353640419,50085184.0,PG-13,Drama,3550.0,141.0,2013.0,163640419
94,2009-11-06,Disney’s A Christmas Carol,190000000,137855863,315709697,30051075.0,PG,Drama,3683.0,95.0,2009.0,125709697
95,2013-07-11,Pacific Rim,190000000,101802906,411002906,37285325.0,PG-13,Action,3285.0,131.0,2013.0,221002906
96,2021-12-16,The Matrix Resurrections,190000000,37686805,156467817,10749011.0,R,Action,3552.0,148.0,2021.0,-33532183
97,2015-11-25,The Good Dinosaur,187500000,123087120,333771037,39155217.0,PG,Adventure,3749.0,92.0,2015.0,146271037
98,2008-05-02,Iron Man,186000000,318604126,585171547,102118668.0,PG-13,Adventure,4154.0,126.0,2008.0,399171547
99,2008-07-11,The Dark Knight,185000000,533720947,998615789,158411483.0,PG-13,Action,4366.0,152.0,2008.0,813615789
100,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000,317101119,786635413,100137835.0,PG-13,Adventure,4264.0,123.0,2008.0,601635413
101,2012-06-21,Brave,185000000,237282182,554606532,66323594.0,PG,Adventure,4164.0,93.0,2012.0,369606532
102,2017-02-23,Kong: Skull Island,185000000,168052812,561072059,61025472.0,PG-13,Adventure,3846.0,118.0,2017.0,376072059
103,2016-07-21,Star Trek Beyond,185000000,158848340,335673708,59253211.0,PG-13,Adventure,3928.0,122.0,2016.0,150673708
104,2019-10-17,Maleficent: Mistress of Evil,185000000,113929605,489346495,36948713.0,PG,Adventure,3820.0,118.0,2019.0,304346495
105,2017-09-29,Blade Runner 2049,185000000,92054159,258829058,32753122.0,R,Thriller/Suspense,4058.0,164.0,2017.0,73829058
106,2019-10-25,Terminator: Dark Fate,185000000,62253077,250372367,29033832.0,R,Action,4086.0,128.0,2019.0,65372367
107,2021-07-28,The Suicide Squad,185000000,55817425,167120232,26205415.0,R,Action,4019.0,132.0,2021.0,-17879768
108,2019-05-22,Aladdin,182000000,355559216,1046649706,91500929.0,PG,Adventure,4476.0,128.0,2019.0,864649706
109,2017-10-25,Thor: Ragnarok,180000000,315058289,850482778,122744989.0,PG-13,Action,4080.0,130.0,2017.0,670482778
111,2014-05-28,Maleficent,180000000,241407328,758536735,69431298.0,PG,Adventure,3948.0,97.0,2014.0,578536735
112,2016-11-14,Fantastic Beasts and Where to Find Them,180000000,234037575,811724385,74403387.0,PG-13,Adventure,4144.0,133.0,2016.0,631724385
113,2008-06-27,WALL-E,180000000,223808164,532508025,63087526.0,G,Adventure,3992.0,100.0,2008.0,352508025
114,2007-08-10,Rush Hour 3,180000000,140125968,256585882,49100158.0,PG-13,Action,3778.0,91.0,2007.0,76585882
115,2016-06-27,The Legend of Tarzan,180000000,126643061,348902025,38527856.0,PG-13,Adventure,3591.0,110.0,2016.0,168902025
116,2011-11-23,Hugo,180000000,73864507,180047784,11364505.0,PG,Adventure,2608.0,126.0,2011.0,47784
117,2017-07-20,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,17007624.0,PG-13,Adventure,3553.0,129.0,2017.0,35098356
118,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,18372372.0,PG-13,Action,3885.0,127.0,2015.0,2982519
119,2018-07-16,Mission: Impossible—Fallout,178000000,220159104,787176729,61236534.0,PG-13,Action,4395.0,147.0,2018.0,609176729
120,2016-05-18,X-Men: Apocalypse,178000000,155442489,542537546,65769562.0,PG-13,Action,4153.0,136.0,2016.0,364537546
121,2018-08-09,The Meg,178000000,145443742,527370715,45402195.0,PG-13,Action,4118.0,113.0,2018.0,349370715
122,2014-05-28,Edge of Tomorrow,178000000,100206256,367028980,28760246.0,PG-13,Action,3505.0,136.0,2014.0,189028980
